student_gpa_band,student_gre_band,program_id,admit_result,term
3.5-3.7,320-329,P003951,Admit,Fall 2026
3.5-3.7,,P003754,Admit,Fall 2025
3.2-3.4,320-329,P001667,Reject,Fall 2024
3.5-3.7,310-319,P000390,Admit,Fall 2026
3.2-3.4,310-319,P003510,Admit,Fall 2024
3.7-3.9,310-319,P004557,Admit,Fall 2024
3.7-3.9,300-309,P001973,Admit,Fall 2026
3.5-3.7,320-329,P000310,Reject,Fall 2025
3.9-4.0,,P001184,Reject,Fall 2026
3.5-3.7,320-329,P001331,Admit,Fall 2024
3.7-3.9,,P000466,Admit,Fall 2024
3.7-3.9,310-319,P001110,Reject,Fall 2025
3.7-3.9,310-319,P004321,Reject,Fall 2024
3.7-3.9,,P004787,Waitlist,Fall 2025
3.4-3.5,,P004904,Reject,Fall 2024
3.4-3.5,290-299,P000731,Admit,Fall 2023
3.7-3.9,,P004564,Reject,Fall 2024
3.5-3.7,,P000461,Admit,Fall 2026
3.7-3.9,,P004091,Admit,Fall 2021
3.5-3.7,290-299,P004417,Waitlist,Fall 2026
3.9-4.0,300-309,P003963,Reject,Fall 2025
3.2-3.4,,P003176,Waitlist,Fall 2021
3.4-3.5,310-319,P004473,Reject,Fall 2025
3.9-4.0,310-319,P000003,Admit,Fall 2022
3.4-3.5,,P002533,Admit,Fall 2021
2.8-3.0,,P001013,Admit,Fall 2023
3.9-4.0,310-319,P002991,Admit,Fall 2024
3.4-3.5,,P004245,Reject,Fall 2023
3.0-3.2,320-329,P003043,Reject,Fall 2026
3.5-3.7,320-329,P003153,Waitlist,Fall 2023
3.2-3.4,300-309,P000898,Reject,Fall 2023
3.0-3.2,,P003571,Reject,Fall 2026
3.5-3.7,330-340,P004490,Reject,Fall 2025
3.7-3.9,,P003514,Admit,Fall 2024
3.2-3.4,310-319,P003977,Waitlist,Fall 2023
3.2-3.4,,P000515,Reject,Fall 2026
3.4-3.5,,P001125,Reject,Fall 2026
3.7-3.9,300-309,P003083,Admit,Fall 2025
2.8-3.0,320-329,P001304,Admit,Fall 2025
3.5-3.7,,P001181,Admit,Fall 2024
3.2-3.4,330-340,P004226,Reject,Fall 2025
3.5-3.7,310-319,P004856,Reject,Fall 2025
3.9-4.0,320-329,P004471,Admit,Fall 2022
3.5-3.7,320-329,P001051,Admit,Fall 2026
3.4-3.5,,P001275,Reject,Fall 2026
3.9-4.0,290-299,P001324,Admit,Fall 2022
3.5-3.7,,P000031,Admit,Fall 2025
3.5-3.7,300-309,P000038,Admit,Fall 2025
3.7-3.9,290-299,P003563,Admit,Fall 2026
3.2-3.4,330-340,P003325,Admit,Fall 2023
3.9-4.0,330-340,P004367,Waitlist,Fall 2022
3.2-3.4,310-319,P001450,Admit,Fall 2024
3.4-3.5,320-329,P003894,Waitlist,Fall 2024
2.8-3.0,,P004976,Waitlist,Fall 2022
3.0-3.2,330-340,P001170,Admit,Fall 2024
3.2-3.4,290-299,P001864,Reject,Fall 2022
3.5-3.7,,P002851,Waitlist,Fall 2026
3.9-4.0,,P004836,Admit,Fall 2026
3.7-3.9,310-319,P001785,Waitlist,Fall 2026
3.7-3.9,330-340,P003802,Admit,Fall 2023
3.7-3.9,330-340,P002538,Admit,Fall 2023
3.5-3.7,310-319,P000165,Admit,Fall 2024
3.4-3.5,320-329,P002245,Admit,Fall 2023
3.7-3.9,320-329,P002028,Admit,Fall 2025
3.4-3.5,310-319,P004931,Admit,Fall 2024
3.0-3.2,310-319,P004778,Admit,Fall 2024
3.4-3.5,330-340,P001163,Admit,Fall 2024
3.5-3.7,310-319,P003793,Admit,Fall 2026
3.2-3.4,310-319,P000992,Admit,Fall 2025
3.5-3.7,,P001018,Admit,Fall 2025
3.7-3.9,290-299,P001505,Admit,Fall 2023
3.5-3.7,,P000341,Waitlist,Fall 2026
3.5-3.7,290-299,P000977,Reject,Fall 2026
3.0-3.2,,P000437,Reject,Fall 2025
3.5-3.7,,P000491,Admit,Fall 2025
3.9-4.0,,P004947,Admit,Fall 2024
3.9-4.0,300-309,P003034,Admit,Fall 2026
3.4-3.5,310-319,P000178,Admit,Fall 2025
3.5-3.7,310-319,P002544,Waitlist,Fall 2022
3.7-3.9,310-319,P002407,Reject,Fall 2026
3.5-3.7,330-340,P004146,Admit,Fall 2023
3.7-3.9,,P004604,Reject,Fall 2025
3.2-3.4,,P003487,Reject,Fall 2025
3.5-3.7,330-340,P000982,Admit,Fall 2026
3.5-3.7,300-309,P003643,Reject,Fall 2024
3.0-3.2,330-340,P000882,Reject,Fall 2025
3.2-3.4,,P004978,Reject,Fall 2023
3.9-4.0,310-319,P000108,Admit,Fall 2025
3.9-4.0,,P000525,Admit,Fall 2026
3.5-3.7,320-329,P001791,Admit,Fall 2026
2.8-3.0,320-329,P002513,Waitlist,Fall 2026
3.2-3.4,,P001624,Admit,Fall 2023
3.5-3.7,,P000265,Reject,Fall 2025
3.9-4.0,330-340,P003871,Admit,Fall 2026
3.0-3.2,300-309,P000733,Admit,Fall 2025
3.7-3.9,330-340,P000085,Admit,Fall 2022
3.9-4.0,310-319,P003194,Admit,Fall 2025
3.7-3.9,,P003493,Admit,Fall 2024
3.7-3.9,320-329,P002752,Reject,Fall 2026
3.5-3.7,330-340,P001976,Admit,Fall 2025
3.2-3.4,320-329,P004430,Admit,Fall 2024
3.5-3.7,,P003368,Reject,Fall 2023
3.4-3.5,310-319,P001398,Admit,Fall 2024
3.5-3.7,310-319,P002622,Admit,Fall 2024
3.7-3.9,320-329,P001274,Admit,Fall 2024
3.0-3.2,330-340,P001292,Reject,Fall 2024
3.5-3.7,,P000585,Admit,Fall 2024
3.5-3.7,,P001163,Admit,Fall 2024
3.7-3.9,320-329,P002269,Admit,Fall 2025
3.9-4.0,,P003545,Admit,Fall 2024
3.5-3.7,,P001609,Reject,Fall 2025
3.7-3.9,,P001262,Admit,Fall 2026
3.0-3.2,300-309,P000213,Reject,Fall 2025
3.0-3.2,310-319,P000096,Reject,Fall 2024
3.2-3.4,,P004927,Reject,Fall 2025
3.9-4.0,330-340,P001058,Admit,Fall 2022
3.9-4.0,,P001793,Admit,Fall 2022
3.2-3.4,320-329,P002235,Admit,Fall 2022
3.9-4.0,290-299,P004411,Admit,Fall 2024
3.2-3.4,320-329,P001007,Admit,Fall 2023
3.9-4.0,320-329,P001292,Admit,Fall 2025
3.4-3.5,310-319,P002304,Reject,Fall 2025
3.7-3.9,,P001656,Admit,Fall 2025
3.4-3.5,,P001221,Admit,Fall 2026
3.9-4.0,,P001376,Admit,Fall 2026
3.5-3.7,320-329,P001835,Admit,Fall 2023
3.9-4.0,,P001715,Admit,Fall 2025
3.5-3.7,,P004096,Reject,Fall 2023
3.0-3.2,,P000861,Admit,Fall 2025
3.2-3.4,,P002245,Admit,Fall 2026
3.4-3.5,,P002392,Admit,Fall 2026
3.5-3.7,310-319,P002516,Admit,Fall 2025
2.8-3.0,320-329,P004443,Reject,Fall 2025
3.7-3.9,300-309,P000516,Admit,Fall 2026
3.2-3.4,310-319,P004816,Reject,Fall 2023
3.5-3.7,320-329,P002190,Admit,Fall 2022
3.2-3.4,,P002742,Admit,Fall 2026
3.2-3.4,320-329,P001983,Reject,Fall 2026
3.2-3.4,,P002908,Waitlist,Fall 2023
3.4-3.5,320-329,P004135,Admit,Fall 2023
3.4-3.5,320-329,P000370,Reject,Fall 2026
3.2-3.4,330-340,P000832,Waitlist,Fall 2026
3.2-3.4,,P003309,Reject,Fall 2024
3.4-3.5,,P003606,Reject,Fall 2022
3.4-3.5,290-299,P000362,Reject,Fall 2024
3.5-3.7,300-309,P000452,Reject,Fall 2026
3.2-3.4,320-329,P002496,Reject,Fall 2025
3.9-4.0,330-340,P002294,Admit,Fall 2026
3.9-4.0,310-319,P004791,Reject,Fall 2024
3.4-3.5,,P004185,Admit,Fall 2026
3.2-3.4,,P003653,Reject,Fall 2021
3.4-3.5,320-329,P000064,Reject,Fall 2024
3.7-3.9,,P001004,Admit,Fall 2025
3.0-3.2,300-309,P001470,Reject,Fall 2023
3.5-3.7,310-319,P004888,Admit,Fall 2024
3.7-3.9,,P004656,Reject,Fall 2025
3.7-3.9,,P004714,Admit,Fall 2023
3.4-3.5,,P003341,Admit,Fall 2025
3.7-3.9,,P001716,Admit,Fall 2025
3.5-3.7,310-319,P000454,Reject,Fall 2025
3.5-3.7,,P002792,Waitlist,Fall 2023
3.2-3.4,310-319,P002933,Admit,Fall 2025
3.7-3.9,310-319,P001806,Admit,Fall 2024
3.7-3.9,320-329,P004821,Reject,Fall 2025
3.5-3.7,310-319,P002034,Admit,Fall 2021
3.5-3.7,310-319,P000526,Admit,Fall 2024
3.4-3.5,330-340,P002446,Admit,Fall 2025
3.2-3.4,,P004257,Reject,Fall 2023
3.9-4.0,,P003031,Admit,Fall 2026
3.9-4.0,,P003563,Admit,Fall 2026
3.7-3.9,330-340,P003294,Admit,Fall 2025
3.5-3.7,310-319,P001112,Reject,Fall 2026
3.2-3.4,,P004684,Reject,Fall 2021
3.5-3.7,310-319,P004127,Admit,Fall 2024
3.9-4.0,290-299,P000738,Admit,Fall 2024
3.9-4.0,,P004497,Admit,Fall 2024
3.9-4.0,,P004289,Admit,Fall 2025
3.5-3.7,310-319,P001589,Admit,Fall 2026
3.0-3.2,310-319,P003792,Reject,Fall 2024
3.4-3.5,,P004486,Admit,Fall 2025
3.5-3.7,320-329,P002709,Admit,Fall 2026
3.4-3.5,,P003337,Reject,Fall 2022
3.2-3.4,,P000667,Admit,Fall 2025
2.8-3.0,320-329,P004927,Admit,Fall 2026
3.9-4.0,300-309,P002664,Admit,Fall 2026
3.0-3.2,,P003936,Reject,Fall 2025
3.4-3.5,320-329,P002398,Reject,Fall 2024
3.4-3.5,320-329,P004735,Reject,Fall 2022
3.2-3.4,300-309,P001867,Waitlist,Fall 2023
3.5-3.7,320-329,P001097,Admit,Fall 2024
3.0-3.2,320-329,P000186,Reject,Fall 2022
3.5-3.7,320-329,P003511,Waitlist,Fall 2026
3.5-3.7,320-329,P001573,Reject,Fall 2025
3.4-3.5,300-309,P000189,Admit,Fall 2026
3.0-3.2,330-340,P001477,Reject,Fall 2025
3.9-4.0,,P004403,Admit,Fall 2026
3.4-3.5,310-319,P003567,Admit,Fall 2024
3.5-3.7,,P000455,Reject,Fall 2024
3.2-3.4,290-299,P004429,Reject,Fall 2025
3.9-4.0,320-329,P000296,Admit,Fall 2021
3.7-3.9,320-329,P001548,Admit,Fall 2023
3.9-4.0,310-319,P002790,Admit,Fall 2025
3.5-3.7,320-329,P001947,Admit,Fall 2026
3.7-3.9,,P001455,Admit,Fall 2025
3.7-3.9,,P003946,Admit,Fall 2025
3.5-3.7,320-329,P002043,Admit,Fall 2026
3.5-3.7,,P000464,Admit,Fall 2023
3.7-3.9,,P002638,Admit,Fall 2026
3.5-3.7,310-319,P003523,Reject,Fall 2022
3.9-4.0,,P000551,Admit,Fall 2025
3.4-3.5,,P000746,Admit,Fall 2023
3.7-3.9,320-329,P001117,Reject,Fall 2024
3.5-3.7,300-309,P004648,Reject,Fall 2021
3.0-3.2,300-309,P002987,Reject,Fall 2025
3.5-3.7,330-340,P002696,Admit,Fall 2026
3.2-3.4,,P002910,Reject,Fall 2023
3.7-3.9,330-340,P001650,Admit,Fall 2025
3.7-3.9,,P000196,Reject,Fall 2022
3.5-3.7,,P003295,Reject,Fall 2024
3.2-3.4,320-329,P004015,Admit,Fall 2022
3.0-3.2,290-299,P003749,Reject,Fall 2026
3.2-3.4,,P003407,Admit,Fall 2024
3.5-3.7,320-329,P002126,Admit,Fall 2024
3.5-3.7,290-299,P002713,Admit,Fall 2024
3.0-3.2,310-319,P000992,Reject,Fall 2023
3.2-3.4,300-309,P003345,Admit,Fall 2026
3.7-3.9,300-309,P000786,Admit,Fall 2026
3.7-3.9,320-329,P000451,Admit,Fall 2023
3.4-3.5,320-329,P003525,Admit,Fall 2025
3.2-3.4,,P002792,Admit,Fall 2022
3.4-3.5,310-319,P000111,Waitlist,Fall 2025
2.8-3.0,330-340,P003722,Admit,Fall 2025
3.5-3.7,320-329,P000631,Waitlist,Fall 2026
3.9-4.0,310-319,P003942,Admit,Fall 2026
3.2-3.4,,P000943,Reject,Fall 2026
3.5-3.7,300-309,P003943,Reject,Fall 2024
3.7-3.9,310-319,P003932,Admit,Fall 2024
3.0-3.2,,P003998,Admit,Fall 2026
3.9-4.0,320-329,P004076,Admit,Fall 2024
3.5-3.7,,P003442,Reject,Fall 2026
3.2-3.4,310-319,P000714,Reject,Fall 2026
3.5-3.7,300-309,P004115,Admit,Fall 2025
3.7-3.9,290-299,P003132,Reject,Fall 2026
3.4-3.5,300-309,P000296,Admit,Fall 2025
3.4-3.5,,P001612,Admit,Fall 2024
3.4-3.5,,P002783,Admit,Fall 2021
3.4-3.5,,P002270,Admit,Fall 2025
2.8-3.0,,P002257,Reject,Fall 2024
3.0-3.2,290-299,P004078,Reject,Fall 2024
2.8-3.0,330-340,P004486,Admit,Fall 2025
3.4-3.5,,P004801,Reject,Fall 2025
3.7-3.9,,P003378,Admit,Fall 2025
3.7-3.9,300-309,P000805,Waitlist,Fall 2021
3.5-3.7,290-299,P000104,Reject,Fall 2025
3.4-3.5,,P003802,Admit,Fall 2024
3.7-3.9,,P002126,Admit,Fall 2024
3.5-3.7,320-329,P002055,Waitlist,Fall 2025
3.5-3.7,310-319,P003681,Admit,Fall 2024
3.2-3.4,,P000064,Reject,Fall 2026
3.7-3.9,,P000106,Admit,Fall 2026
3.5-3.7,,P004469,Reject,Fall 2023
3.4-3.5,,P000889,Admit,Fall 2023
3.9-4.0,,P002830,Admit,Fall 2023
3.4-3.5,310-319,P004054,Admit,Fall 2023
3.4-3.5,330-340,P000084,Reject,Fall 2021
3.9-4.0,,P001509,Admit,Fall 2023
3.5-3.7,310-319,P003856,Reject,Fall 2025
3.4-3.5,310-319,P004852,Reject,Fall 2024
3.7-3.9,330-340,P000621,Waitlist,Fall 2025
3.5-3.7,310-319,P000389,Admit,Fall 2023
3.9-4.0,300-309,P002203,Admit,Fall 2025
3.7-3.9,310-319,P004241,Admit,Fall 2024
3.2-3.4,310-319,P000678,Reject,Fall 2026
3.4-3.5,,P001373,Waitlist,Fall 2026
3.9-4.0,,P004987,Admit,Fall 2023
3.4-3.5,310-319,P004701,Waitlist,Fall 2024
3.5-3.7,,P000764,Admit,Fall 2024
3.7-3.9,320-329,P001232,Waitlist,Fall 2026
3.9-4.0,320-329,P002595,Admit,Fall 2025
3.2-3.4,320-329,P001381,Admit,Fall 2025
3.7-3.9,330-340,P000767,Admit,Fall 2023
3.4-3.5,,P000754,Admit,Fall 2023
3.7-3.9,320-329,P001845,Reject,Fall 2026
3.2-3.4,310-319,P003563,Reject,Fall 2025
3.7-3.9,310-319,P002815,Admit,Fall 2023
3.4-3.5,320-329,P004768,Admit,Fall 2025
3.9-4.0,320-329,P003365,Waitlist,Fall 2026
3.2-3.4,,P000903,Reject,Fall 2025
3.4-3.5,310-319,P002346,Reject,Fall 2024
3.7-3.9,,P004808,Admit,Fall 2025
3.5-3.7,,P003270,Admit,Fall 2024
3.2-3.4,320-329,P004751,Admit,Fall 2026
3.0-3.2,320-329,P002657,Admit,Fall 2021
3.9-4.0,,P001712,Admit,Fall 2025
3.4-3.5,320-329,P001537,Admit,Fall 2025
3.0-3.2,310-319,P002907,Admit,Fall 2026
3.4-3.5,310-319,P003028,Admit,Fall 2026
3.9-4.0,310-319,P001294,Reject,Fall 2025
3.2-3.4,310-319,P002536,Reject,Fall 2025
3.4-3.5,,P001511,Admit,Fall 2024
3.0-3.2,,P003211,Reject,Fall 2025
2.8-3.0,,P003103,Reject,Fall 2025
3.0-3.2,,P000988,Waitlist,Fall 2025
3.5-3.7,320-329,P003686,Waitlist,Fall 2026
3.5-3.7,300-309,P003057,Reject,Fall 2025
3.7-3.9,330-340,P000538,Admit,Fall 2022
3.7-3.9,310-319,P004503,Admit,Fall 2026
3.2-3.4,310-319,P001270,Reject,Fall 2022
3.5-3.7,,P000096,Admit,Fall 2024
3.9-4.0,300-309,P003675,Admit,Fall 2023
3.5-3.7,,P003250,Admit,Fall 2026
3.5-3.7,320-329,P002872,Reject,Fall 2024
3.7-3.9,290-299,P004603,Admit,Fall 2025
3.7-3.9,330-340,P002261,Reject,Fall 2024
3.9-4.0,,P002048,Waitlist,Fall 2026
3.7-3.9,310-319,P004369,Admit,Fall 2026
3.0-3.2,,P001274,Reject,Fall 2022
3.2-3.4,320-329,P000563,Admit,Fall 2026
3.7-3.9,300-309,P003674,Reject,Fall 2025
3.7-3.9,330-340,P000827,Admit,Fall 2024
3.4-3.5,310-319,P001898,Reject,Fall 2021
3.7-3.9,,P000655,Admit,Fall 2022
3.9-4.0,320-329,P004453,Admit,Fall 2026
3.7-3.9,320-329,P002082,Admit,Fall 2026
3.7-3.9,300-309,P003951,Admit,Fall 2024
3.2-3.4,320-329,P003455,Admit,Fall 2025
3.4-3.5,,P003588,Admit,Fall 2024
3.4-3.5,320-329,P004546,Admit,Fall 2025
3.9-4.0,,P001354,Admit,Fall 2023
3.5-3.7,320-329,P003181,Admit,Fall 2025
3.0-3.2,320-329,P002775,Reject,Fall 2024
3.7-3.9,,P000532,Waitlist,Fall 2025
