university_id,university_name,state,city,latitude,longitude,tuition_in_state_usd,tuition_out_state_usd,university_admission_rate,student_size,us_news_ranking,world_ranking,campus_setting,website_url,avg_cost_of_living_monthly,international_student_pct,public_or_private,program_id,program_name,degree_type,department,min_gpa,min_gre_quant,min_gre_verbal,min_gmat,min_toefl,min_ielts,application_deadline_fall,application_fee_usd,duration_months,stem_designated,program_admit_rate,description_text,curriculum_highlights,faculty_research_areas,avg_starting_salary_usd,male_acceptance_rate,female_acceptance_rate,historical_admit_count,historical_admit_rate,data_quality,track,tier_score,tier
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,33.77242,-84.394832,12058,34484,0.1407,18785,33.0,128.0,urban,www.gatech.edu/,,,Public,P000432,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.0,148.0,148.0,707.0,110,7.0,2027-02-20,65,24,False,0.101,"MBA Business Administration - Finance at Georgia Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Operations; Leadership; Entrepreneurship; Finance,Finance; Organizational Behavior; Innovation; Strategy; Marketing,153000,0.103,0.101,1,1.0,synthetic_demo,MBA,86.46,Tier1
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,33.77242,-84.394832,12058,34484,0.1407,18785,33.0,128.0,urban,www.gatech.edu/,,,Public,P000452,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.0,149.0,150.0,716.0,110,7.0,2028-04-01,50,24,False,0.101,"MBA Business Administration - Marketing at Georgia Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Entrepreneurship; Operations; Leadership; Finance; Marketing,Finance; Operations; Strategy; Innovation; Organizational Behavior,160000,0.108,0.098,1,0.0,synthetic_demo,MBA,86.8,Tier1
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,33.77242,-84.394832,12058,34484,0.1407,18785,33.0,128.0,urban,www.gatech.edu/,,,Public,P000472,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.1,151.0,150.0,719.0,110,7.0,2029-03-10,200,24,False,0.036,"MBA Business Administration - Operations at Georgia Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Entrepreneurship; Operations; Finance; Strategy; Marketing,Innovation; Marketing; Finance; Operations; Organizational Behavior,157000,0.026,0.047,4,0.25,synthetic_demo,MBA,90.66,Tier1
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,33.77242,-84.394832,12058,34484,0.1407,18785,33.0,128.0,urban,www.gatech.edu/,,,Public,P000492,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.0,151.0,149.0,700.0,110,7.5,2030-04-20,65,24,False,0.055,"MBA Business Administration - Leadership at Georgia Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Finance; Entrepreneurship; Strategy; Operations,Innovation; Marketing; Strategy; Organizational Behavior; Finance,160000,0.057,0.056,0,,synthetic_demo,MBA,88.5,Tier1
145637,University of Illinois Urbana-Champaign,IL,Champaign,40.104718,-88.229114,16004,35124,0.4237,36258,35.0,65.0,urban,www.illinois.edu/,,,Public,P000512,MBA Business Administration,MBA,"Business, Management & Marketing",3.1,151.0,149.0,717.0,100,7.5,2026-03-05,100,24,False,0.044,"MBA Business Administration at University of Illinois Urbana-Champaign is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Operations; Finance; Leadership; Strategy; Entrepreneurship,Organizational Behavior; Finance; Marketing; Strategy; Innovation,152000,0.045,0.049,2,0.5,synthetic_demo,MBA,90.19,Tier1
145637,University of Illinois Urbana-Champaign,IL,Champaign,40.104718,-88.229114,16004,35124,0.4237,36258,35.0,65.0,urban,www.illinois.edu/,,,Public,P000532,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.1,148.0,150.0,706.0,100,7.5,2027-01-05,95,24,False,0.138,"MBA Business Administration - Finance at University of Illinois Urbana-Champaign is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Strategy; Marketing; Operations; Finance; Leadership,Strategy; Organizational Behavior; Finance; Marketing; Innovation,160000,0.143,0.131,5,0.6,synthetic_demo,MBA,85.08,Tier1
145637,University of Illinois Urbana-Champaign,IL,Champaign,40.104718,-88.229114,16004,35124,0.4237,36258,35.0,65.0,urban,www.illinois.edu/,,,Public,P000552,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.2,152.0,149.0,722.0,100,7.0,2028-03-20,200,24,False,0.136,"MBA Business Administration - Marketing at University of Illinois Urbana-Champaign is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Operations; Entrepreneurship; Finance; Marketing,Finance; Organizational Behavior; Strategy; Innovation; Marketing,150000,0.154,0.115,2,0.5,synthetic_demo,MBA,86.28,Tier1
145637,University of Illinois Urbana-Champaign,IL,Champaign,40.104718,-88.229114,16004,35124,0.4237,36258,35.0,65.0,urban,www.illinois.edu/,,,Public,P000572,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.0,149.0,150.0,720.0,100,7.0,2029-04-20,65,24,False,0.078,"MBA Business Administration - Operations at University of Illinois Urbana-Champaign is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Strategy; Finance; Operations; Marketing; Leadership,Innovation; Marketing; Operations; Finance; Organizational Behavior,156000,0.075,0.08,1,1.0,synthetic_demo,MBA,88.1,Tier1
145637,University of Illinois Urbana-Champaign,IL,Champaign,40.104718,-88.229114,16004,35124,0.4237,36258,35.0,65.0,urban,www.illinois.edu/,,,Public,P000592,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.2,151.0,153.0,722.0,105,7.0,2030-01-05,65,24,False,0.134,"MBA Business Administration - Leadership at University of Illinois Urbana-Champaign is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Marketing; Entrepreneurship; Strategy; Operations,Organizational Behavior; Finance; Strategy; Operations; Innovation,157000,0.124,0.146,1,1.0,synthetic_demo,MBA,86.38,Tier1
170976,University of Michigan-Ann Arbor,MI,Ann Arbor,42.278374,-83.73481,17736,60946,0.1564,34177,21.0,44.0,urban,https://umich.edu/,,,Public,P000612,MBA Business Administration,MBA,"Business, Management & Marketing",3.0,151.0,150.0,717.0,100,7.0,2026-04-05,125,24,False,0.065,"MBA Business Administration at University of Michigan Ann Arbor is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Operations; Entrepreneurship; Marketing; Leadership,Marketing; Finance; Innovation; Organizational Behavior; Strategy,156000,0.054,0.078,2,0.0,synthetic_demo,MBA,88.64,Tier1
170976,University of Michigan-Ann Arbor,MI,Ann Arbor,42.278374,-83.73481,17736,60946,0.1564,34177,21.0,44.0,urban,https://umich.edu/,,,Public,P000632,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.0,150.0,151.0,713.0,105,7.0,2027-02-15,90,24,False,0.063,"MBA Business Administration - Finance at University of Michigan Ann Arbor is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Operations; Marketing; Leadership; Strategy,Strategy; Innovation; Marketing; Finance; Organizational Behavior,148000,0.065,0.061,1,0.0,synthetic_demo,MBA,88.59,Tier1
170976,University of Michigan-Ann Arbor,MI,Ann Arbor,42.278374,-83.73481,17736,60946,0.1564,34177,21.0,44.0,urban,https://umich.edu/,,,Public,P000652,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.0,150.0,151.0,707.0,105,7.0,2028-03-01,120,24,False,0.055,"MBA Business Administration - Marketing at University of Michigan Ann Arbor is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Strategy; Leadership; Operations; Entrepreneurship; Marketing,Strategy; Innovation; Organizational Behavior; Operations; Marketing,160000,0.056,0.055,0,,synthetic_demo,MBA,88.76,Tier1
170976,University of Michigan-Ann Arbor,MI,Ann Arbor,42.278374,-83.73481,17736,60946,0.1564,34177,21.0,44.0,urban,https://umich.edu/,,,Public,P000672,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.2,148.0,152.0,714.0,100,7.5,2029-03-20,0,24,False,0.111,"MBA Business Administration - Operations at University of Michigan Ann Arbor is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Entrepreneurship; Operations; Finance; Marketing; Leadership,Strategy; Marketing; Operations; Innovation; Finance,150000,0.117,0.109,1,0.0,synthetic_demo,MBA,87.22,Tier1
170976,University of Michigan-Ann Arbor,MI,Ann Arbor,42.278374,-83.73481,17736,60946,0.1564,34177,21.0,44.0,urban,https://umich.edu/,,,Public,P000692,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.0,151.0,150.0,718.0,105,7.5,2030-02-05,75,24,False,0.103,"MBA Business Administration - Leadership at University of Michigan Ann Arbor is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Strategy; Leadership; Marketing; Entrepreneurship,Marketing; Innovation; Strategy; Operations; Organizational Behavior,151000,0.102,0.106,0,,synthetic_demo,MBA,86.78,Tier1
228778,The University of Texas at Austin,TX,Austin,30.282825,-97.738273,11688,44908,0.2664,42855,32.0,67.0,urban,https://www.utexas.edu/,,,Public,P000712,MBA Business Administration,MBA,"Business, Management & Marketing",3.2,148.0,151.0,708.0,105,7.5,2026-04-01,65,24,False,0.053,"MBA Business Administration at University of Texas at Austin is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Strategy; Marketing; Finance; Entrepreneurship,Strategy; Marketing; Organizational Behavior; Innovation; Finance,155000,0.067,0.038,0,,synthetic_demo,MBA,89.9,Tier1
228778,The University of Texas at Austin,TX,Austin,30.282825,-97.738273,11688,44908,0.2664,42855,32.0,67.0,urban,https://www.utexas.edu/,,,Public,P000732,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.2,151.0,153.0,660.0,100,7.5,2027-02-10,75,24,False,0.163,"MBA Business Administration - Finance at University of Texas at Austin is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Operations; Entrepreneurship; Leadership; Finance; Marketing,Operations; Marketing; Innovation; Finance; Organizational Behavior,155000,0.163,0.162,1,1.0,synthetic_demo,MBA,82.6,Tier1
228778,The University of Texas at Austin,TX,Austin,30.282825,-97.738273,11688,44908,0.2664,42855,32.0,67.0,urban,https://www.utexas.edu/,,,Public,P000752,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.0,152.0,150.0,724.0,100,7.0,2028-03-20,100,24,False,0.058,"MBA Business Administration - Marketing at University of Texas at Austin is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Operations; Finance; Strategy; Leadership,Organizational Behavior; Finance; Marketing; Operations; Innovation,155000,0.058,0.056,0,,synthetic_demo,MBA,89.25,Tier1
228778,The University of Texas at Austin,TX,Austin,30.282825,-97.738273,11688,44908,0.2664,42855,32.0,67.0,urban,https://www.utexas.edu/,,,Public,P000772,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.2,153.0,149.0,670.0,100,7.0,2029-04-01,95,24,False,0.156,"MBA Business Administration - Operations at University of Texas at Austin is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Strategy; Entrepreneurship; Marketing; Operations,Marketing; Innovation; Finance; Organizational Behavior; Strategy,156000,0.157,0.153,1,1.0,synthetic_demo,MBA,83.32,Tier1
