applicant_id,track,gpa_normalized_4,gre_score,toefl_score,has_research,university_rating,admit_probability,admission_status,gmat_score,work_experience_months,major,work_industry,profile_score,recommended_tier
MS33,MS,3.76,338.0,118.0,1.0,4.0,0.91,,,,,,94.8,Tier1
MS34,MS,3.84,340.0,114.0,1.0,5.0,0.9,,,,,,94.45,Tier1
MS35,MS,3.92,331.0,112.0,1.0,5.0,0.94,,,,,,95.54,Tier1
MS36,MS,3.68,320.0,110.0,1.0,5.0,0.88,,,,,,90.88,Tier1
MS37,MS,3.36,299.0,106.0,0.0,2.0,0.64,,,,,,77.64,Tier2
MS38,MS,3.12,300.0,105.0,0.0,1.0,0.58,,,,,,73.98,Tier2
MS39,MS,3.0,304.0,105.0,0.0,1.0,0.52,,,,,,71.28,Tier2
MS40,MS,3.08,307.0,108.0,0.0,2.0,0.48,,,,,,70.67,Tier2
MS41,MS,3.2,308.0,110.0,1.0,3.0,0.46,,,,,,70.8,Tier2
MS42,MS,3.28,316.0,105.0,1.0,2.0,0.49,,,,,,72.36,Tier2
MS43,MS,3.4,313.0,107.0,1.0,2.0,0.53,,,,,,74.59,Tier2
MS44,MS,3.64,332.0,117.0,0.0,4.0,0.87,,,,,,92.04,Tier1
MS45,MS,3.76,326.0,113.0,1.0,5.0,0.91,,,,,,93.3,Tier1
MS46,MS,3.64,322.0,110.0,1.0,5.0,0.88,,,,,,90.83,Tier1
MS47,MS,3.72,329.0,114.0,1.0,5.0,0.86,,,,,,91.44,Tier1
MS48,MS,3.88,339.0,119.0,0.0,5.0,0.89,,,,,,94.8,Tier1
MS49,MS,3.54,321.0,110.0,1.0,3.0,0.82,,,,,,87.85,Tier1
MS50,MS,3.36,327.0,111.0,1.0,4.0,0.78,,,,,,85.92,Tier1
MS51,MS,3.32,313.0,98.0,1.0,3.0,0.76,,,,,,82.26,Tier2
MS52,MS,3.16,312.0,100.0,1.0,2.0,0.56,,,,,,73.64,Tier2
MS53,MS,3.2,334.0,116.0,1.0,4.0,0.78,,,,,,86.26,Tier1
MS54,MS,3.24,324.0,112.0,1.0,4.0,0.72,,,,,,82.82,Tier1
MS55,MS,3.2,322.0,110.0,0.0,3.0,0.7,,,,,,81.43,Tier2
MS56,MS,3.08,320.0,103.0,0.0,3.0,0.64,,,,,,77.4,Tier2
MS57,MS,2.96,316.0,102.0,0.0,3.0,0.64,,,,,,76.39,Tier2
MS58,MS,3.04,298.0,99.0,0.0,2.0,0.46,,,,,,67.89,Tier2
MS59,MS,2.72,300.0,99.0,1.0,1.0,0.36,,,,,,62.43,Tier2
MS60,MS,3.32,311.0,104.0,0.0,2.0,0.42,,,,,,69.27,Tier2
MS61,MS,3.24,309.0,100.0,0.0,2.0,0.48,,,,,,70.62,Tier2
MS62,MS,3.28,307.0,101.0,0.0,3.0,0.47,,,,,,70.4,Tier2
MS63,MS,3.28,304.0,105.0,1.0,2.0,0.54,,,,,,73.48,Tier2
MS64,MS,3.4,315.0,107.0,1.0,2.0,0.56,,,,,,75.94,Tier2
MS65,MS,3.48,325.0,111.0,0.0,3.0,0.52,,,,,,75.97,Tier2
MS66,MS,3.568,325.0,112.0,0.0,4.0,0.55,,,,,,77.74,Tier2
MS67,MS,3.608,327.0,114.0,0.0,3.0,0.61,,,,,,80.73,Tier2
MS68,MS,3.456,316.0,107.0,1.0,2.0,0.57,,,,,,76.69,Tier2
MS69,MS,3.688,318.0,109.0,1.0,3.0,0.68,,,,,,82.65,Tier1
MS70,MS,3.664,328.0,115.0,1.0,4.0,0.78,,,,,,88.01,Tier1
MS71,MS,3.856,332.0,118.0,1.0,5.0,0.94,,,,,,96.04,Tier1
MS72,MS,3.904,336.0,112.0,1.0,5.0,0.96,,,,,,96.63,Tier1
MS73,MS,3.78,321.0,111.0,1.0,5.0,0.93,,,,,,93.58,Tier1
MS74,MS,3.616,314.0,108.0,1.0,4.0,0.84,,,,,,88.27,Tier1
MS75,MS,3.56,314.0,106.0,0.0,3.0,0.74,,,,,,83.74,Tier1
MS76,MS,3.424,329.0,114.0,1.0,2.0,0.72,,,,,,84.36,Tier1
MS77,MS,3.488,327.0,112.0,1.0,3.0,0.74,,,,,,85.08,Tier1
MS78,MS,3.288,301.0,99.0,0.0,2.0,0.64,,,,,,76.55,Tier2
MS79,MS,3.016,296.0,95.0,1.0,2.0,0.44,,,,,,66.32,Tier2
MS80,MS,2.944,294.0,93.0,0.0,1.0,0.46,,,,,,66.36,Tier2
MS81,MS,3.208,312.0,105.0,1.0,3.0,0.5,,,,,,72.11,Tier2
MS82,MS,3.8,340.0,120.0,1.0,4.0,0.96,,,,,,97.4,Tier1
MS83,MS,3.688,320.0,110.0,1.0,5.0,0.92,,,,,,92.52,Tier1
MS84,MS,3.744,322.0,115.0,1.0,5.0,0.92,,,,,,93.57,Tier1
MS85,MS,3.78,340.0,115.0,1.0,5.0,0.94,,,,,,95.88,Tier1
MS86,MS,3.464,319.0,103.0,0.0,4.0,0.76,,,,,,84.05,Tier1
MS87,MS,3.368,315.0,106.0,0.0,3.0,0.72,,,,,,82.05,Tier2
MS88,MS,3.312,317.0,107.0,0.0,2.0,0.66,,,,,,79.64,Tier2
MS89,MS,3.256,314.0,108.0,0.0,3.0,0.64,,,,,,78.47,Tier2
MS90,MS,3.504,316.0,109.0,1.0,4.0,0.74,,,,,,83.98,Tier1
MS91,MS,3.168,318.0,106.0,1.0,2.0,0.64,,,,,,78.07,Tier2
MS92,MS,3.064,299.0,97.0,0.0,3.0,0.38,,,,,,64.63,Tier2
MS93,MS,3.212,298.0,98.0,0.0,2.0,0.34,,,,,,63.82,Tier2
MS94,MS,3.152,301.0,97.0,1.0,2.0,0.44,,,,,,67.62,Tier2
MS95,MS,3.064,303.0,99.0,0.0,3.0,0.36,,,,,,64.37,Tier2
MS96,MS,3.136,304.0,100.0,0.0,4.0,0.42,,,,,,67.33,Tier2
MS97,MS,3.2,306.0,100.0,0.0,2.0,0.48,,,,,,70.2,Tier2
MS98,MS,3.584,331.0,120.0,1.0,3.0,0.86,,,,,,91.66,Tier1
MS99,MS,3.696,332.0,119.0,1.0,4.0,0.9,,,,,,93.77,Tier1
MS100,MS,3.552,323.0,113.0,1.0,3.0,0.79,,,,,,87.24,Tier1
MS101,MS,3.384,322.0,107.0,1.0,3.0,0.71,,,,,,82.37,Tier2
MS102,MS,3.248,312.0,105.0,0.0,2.0,0.64,,,,,,77.91,Tier2
MS103,MS,3.3,314.0,106.0,0.0,2.0,0.62,,,,,,77.64,Tier2
MS104,MS,3.388,317.0,104.0,0.0,2.0,0.57,,,,,,76.05,Tier2
MS105,MS,3.62,326.0,112.0,1.0,3.0,0.74,,,,,,85.67,Tier1
MS106,MS,3.512,316.0,110.0,1.0,3.0,0.69,,,,,,82.15,Tier2
MS107,MS,3.672,329.0,111.0,1.0,4.0,0.87,,,,,,91.23,Tier1
MS108,MS,3.784,338.0,117.0,1.0,4.0,0.91,,,,,,94.8,Tier1
MS109,MS,3.752,331.0,116.0,1.0,5.0,0.93,,,,,,94.8,Tier1
MS110,MS,3.456,304.0,103.0,0.0,5.0,0.68,,,,,,79.71,Tier2
MS111,MS,3.392,305.0,108.0,0.0,5.0,0.61,,,,,,77.29,Tier2
MS112,MS,3.472,321.0,109.0,1.0,4.0,0.69,,,,,,82.19,Tier2
MS113,MS,3.336,301.0,107.0,1.0,3.0,0.62,,,,,,76.99,Tier2
MS114,MS,3.424,320.0,110.0,0.0,2.0,0.72,,,,,,83.2,Tier1
MS115,MS,3.38,311.0,105.0,1.0,3.0,0.59,,,,,,76.49,Tier2
MS116,MS,3.616,310.0,106.0,1.0,4.0,0.66,,,,,,80.52,Tier2
MS117,MS,3.448,299.0,102.0,0.0,3.0,0.56,,,,,,74.38,Tier2
MS118,MS,2.984,290.0,104.0,0.0,4.0,0.45,,,,,,67.24,Tier2
MS119,MS,2.912,296.0,99.0,0.0,2.0,0.47,,,,,,67.5,Tier2
MS120,MS,3.536,327.0,104.0,1.0,5.0,0.71,,,,,,83.12,Tier1
MS121,MS,3.824,335.0,117.0,1.0,5.0,0.94,,,,,,95.98,Tier1
MS122,MS,3.792,334.0,119.0,1.0,5.0,0.94,,,,,,95.99,Tier1
MS123,MS,3.344,310.0,106.0,0.0,4.0,0.57,,,,,,75.56,Tier2
MS124,MS,3.288,308.0,108.0,0.0,3.0,0.61,,,,,,76.99,Tier2
MS125,MS,3.388,301.0,106.0,0.0,4.0,0.57,,,,,,75.12,Tier2
MS126,MS,3.464,300.0,100.0,1.0,3.0,0.64,,,,,,77.48,Tier2
MS127,MS,3.728,323.0,113.0,1.0,3.0,0.85,,,,,,90.52,Tier1
MS128,MS,3.484,319.0,112.0,1.0,3.0,0.78,,,,,,86.08,Tier1
MS129,MS,3.64,326.0,112.0,1.0,3.0,0.84,,,,,,89.77,Tier1
MS130,MS,3.74,333.0,118.0,1.0,5.0,0.92,,,,,,94.74,Tier1
MS131,MS,3.904,339.0,114.0,1.0,5.0,0.96,,,,,,97.1,Tier1
MS132,MS,3.46,303.0,105.0,0.0,5.0,0.77,,,,,,83.5,Tier1
MS133,MS,3.424,309.0,105.0,0.0,5.0,0.71,,,,,,81.37,Tier2
MS134,MS,3.512,323.0,112.0,0.0,5.0,0.79,,,,,,86.91,Tier1
MS135,MS,3.712,333.0,113.0,1.0,5.0,0.89,,,,,,92.77,Tier1
MS136,MS,3.508,314.0,109.0,1.0,4.0,0.82,,,,,,87.05,Tier1
MS137,MS,3.38,312.0,103.0,0.0,3.0,0.76,,,,,,83.12,Tier1
MS138,MS,3.264,316.0,100.0,1.0,2.0,0.71,,,,,,80.46,Tier2
MS139,MS,3.632,326.0,116.0,1.0,2.0,0.8,,,,,,88.63,Tier1
MS140,MS,3.648,318.0,109.0,0.0,1.0,0.78,,,,,,86.45,Tier1
MS141,MS,3.66,329.0,110.0,1.0,2.0,0.84,,,,,,89.84,Tier1
MS142,MS,3.744,332.0,118.0,1.0,2.0,0.9,,,,,,93.88,Tier1
MS143,MS,3.776,331.0,115.0,1.0,5.0,0.92,,,,,,94.39,Tier1
MS144,MS,3.968,340.0,120.0,1.0,4.0,0.97,,,,,,98.64,Tier1
MS145,MS,3.584,325.0,112.0,1.0,2.0,0.8,,,,,,87.82,Tier1
MS146,MS,3.456,320.0,113.0,1.0,2.0,0.81,,,,,,87.33,Tier1
MS147,MS,3.392,315.0,105.0,0.0,3.0,0.75,,,,,,83.25,Tier1
MS148,MS,3.644,326.0,114.0,1.0,3.0,0.83,,,,,,89.64,Tier1
MS149,MS,3.92,339.0,116.0,1.0,4.0,0.96,,,,,,97.43,Tier1
MS150,MS,3.304,311.0,106.0,1.0,2.0,0.79,,,,,,84.24,Tier1
MS151,MS,3.772,334.0,114.0,1.0,4.0,0.93,,,,,,94.87,Tier1
MS152,MS,3.712,332.0,116.0,1.0,5.0,0.94,,,,,,95.07,Tier1
MS153,MS,3.624,321.0,112.0,1.0,5.0,0.86,,,,,,90.12,Tier1
MS154,MS,3.5,324.0,105.0,0.0,3.0,0.79,,,,,,86.05,Tier1
MS155,MS,3.556,326.0,108.0,0.0,3.0,0.8,,,,,,87.25,Tier1
MS156,MS,3.476,312.0,109.0,0.0,3.0,0.77,,,,,,84.75,Tier1
MS157,MS,3.336,315.0,105.0,0.0,3.0,0.7,,,,,,80.97,Tier2
MS158,MS,3.304,309.0,104.0,0.0,2.0,0.65,,,,,,78.24,Tier2
MS159,MS,3.256,306.0,106.0,0.0,2.0,0.61,,,,,,76.43,Tier2
MS160,MS,3.16,297.0,100.0,0.0,1.0,0.52,,,,,,70.94,Tier2
MS161,MS,3.144,315.0,103.0,0.0,1.0,0.57,,,,,,74.56,Tier2
MS162,MS,2.984,298.0,99.0,0.0,1.0,0.53,,,,,,70.41,Tier2
MS163,MS,3.4,318.0,109.0,0.0,3.0,0.67,,,,,,80.81,Tier2
MS164,MS,3.424,317.0,105.0,0.0,3.0,0.68,,,,,,80.75,Tier2
MS165,MS,3.604,329.0,111.0,1.0,4.0,0.81,,,,,,88.49,Tier1
MS166,MS,3.588,322.0,110.0,0.0,5.0,0.78,,,,,,86.57,Tier1
MS167,MS,3.332,302.0,102.0,0.0,3.0,0.65,,,,,,77.62,Tier2
MS168,MS,3.308,313.0,102.0,0.0,3.0,0.64,,,,,,77.9,Tier2
MS169,MS,3.12,293.0,97.0,1.0,2.0,0.64,,,,,,74.87,Tier2
MS170,MS,3.192,311.0,99.0,0.0,2.0,0.65,,,,,,77.2,Tier2
MS171,MS,3.216,312.0,101.0,1.0,2.0,0.68,,,,,,78.85,Tier2
MS172,MS,3.628,334.0,117.0,1.0,5.0,0.89,,,,,,92.92,Tier1
MS173,MS,3.652,322.0,110.0,1.0,4.0,0.86,,,,,,90.09,Tier1
MS174,MS,3.692,323.0,113.0,1.0,4.0,0.89,,,,,,91.94,Tier1
MS175,MS,3.588,321.0,111.0,1.0,4.0,0.87,,,,,,90.22,Tier1
MS176,MS,3.548,320.0,111.0,1.0,4.0,0.85,,,,,,89.14,Tier1
MS177,MS,3.664,329.0,119.0,1.0,4.0,0.9,,,,,,93.39,Tier1
MS178,MS,3.616,319.0,110.0,0.0,3.0,0.82,,,,,,88.09,Tier1
MS179,MS,3.248,309.0,108.0,0.0,3.0,0.72,,,,,,81.26,Tier2
MS180,MS,3.308,307.0,102.0,0.0,3.0,0.73,,,,,,81.06,Tier2
MS181,MS,3.264,300.0,104.0,0.0,3.0,0.71,,,,,,79.78,Tier2
MS182,MS,3.368,305.0,107.0,0.0,2.0,0.71,,,,,,81.04,Tier2
MS183,MS,3.152,299.0,100.0,0.0,2.0,0.68,,,,,,77.45,Tier2
MS184,MS,3.52,314.0,110.0,0.0,3.0,0.75,,,,,,84.44,Tier1
MS185,MS,3.328,316.0,106.0,0.0,2.0,0.72,,,,,,81.93,Tier2
MS186,MS,3.644,327.0,113.0,1.0,4.0,0.89,,,,,,91.99,Tier1
MS187,MS,3.472,317.0,107.0,1.0,3.0,0.84,,,,,,87.64,Tier1
MS188,MS,3.776,335.0,118.0,1.0,5.0,0.93,,,,,,95.46,Tier1
MS189,MS,3.744,331.0,115.0,1.0,5.0,0.93,,,,,,94.63,Tier1
MS190,MS,3.632,324.0,112.0,1.0,5.0,0.88,,,,,,91.18,Tier1
MS191,MS,3.664,324.0,111.0,1.0,5.0,0.9,,,,,,92.02,Tier1
MS192,MS,3.592,323.0,110.0,1.0,5.0,0.87,,,,,,90.26,Tier1
MS193,MS,3.576,322.0,114.0,1.0,5.0,0.86,,,,,,90.21,Tier1
MS194,MS,3.812,336.0,118.0,1.0,5.0,0.94,,,,,,96.12,Tier1
MS195,MS,3.504,316.0,109.0,0.0,3.0,0.77,,,,,,85.18,Tier1
MS196,MS,3.408,307.0,107.0,1.0,2.0,0.78,,,,,,84.19,Tier1
MS197,MS,3.304,306.0,105.0,0.0,2.0,0.73,,,,,,81.34,Tier2
MS198,MS,3.332,310.0,106.0,0.0,2.0,0.73,,,,,,81.9,Tier2
MS199,MS,3.372,311.0,104.0,0.0,3.0,0.7,,,,,,80.73,Tier2
MS200,MS,3.476,313.0,107.0,0.0,3.0,0.72,,,,,,82.57,Tier1
MS201,MS,3.416,317.0,103.0,1.0,3.0,0.73,,,,,,82.46,Tier2
MS202,MS,3.384,315.0,110.0,1.0,2.0,0.72,,,,,,82.63,Tier1
MS203,MS,3.964,340.0,120.0,1.0,5.0,0.97,,,,,,98.62,Tier1
MS204,MS,3.948,334.0,120.0,1.0,5.0,0.97,,,,,,98.1,Tier1
MS205,MS,3.416,298.0,105.0,0.0,3.0,0.69,,,,,,79.72,Tier2
MS206,MS,3.06,295.0,99.0,0.0,2.0,0.57,,,,,,72.17,Tier2
MS207,MS,3.156,315.0,99.0,0.0,2.0,0.63,,,,,,76.52,Tier2
MS208,MS,3.208,310.0,102.0,1.0,3.0,0.66,,,,,,77.98,Tier2
MS209,MS,3.264,305.0,106.0,0.0,2.0,0.64,,,,,,77.6,Tier2
MS210,MS,3.248,301.0,104.0,1.0,3.0,0.68,,,,,,78.57,Tier2
MS211,MS,3.624,325.0,108.0,1.0,4.0,0.79,,,,,,87.12,Tier1
MS212,MS,3.656,328.0,110.0,1.0,4.0,0.82,,,,,,88.95,Tier1
MS213,MS,3.864,338.0,120.0,1.0,4.0,0.95,,,,,,97.17,Tier1
MS214,MS,3.912,333.0,119.0,1.0,5.0,0.96,,,,,,97.32,Tier1
MS215,MS,3.768,331.0,117.0,1.0,4.0,0.94,,,,,,95.4,Tier1
MS216,MS,3.744,330.0,116.0,1.0,5.0,0.93,,,,,,94.68,Tier1
MS217,MS,3.704,322.0,112.0,1.0,4.0,0.91,,,,,,92.6,Tier1
MS218,MS,3.652,321.0,109.0,1.0,4.0,0.85,,,,,,89.49,Tier1
MS219,MS,3.588,324.0,110.0,1.0,4.0,0.84,,,,,,89.11,Tier1
MS220,MS,3.368,312.0,104.0,0.0,3.0,0.74,,,,,,82.38,Tier2
MS221,MS,3.5,313.0,103.0,0.0,3.0,0.76,,,,,,83.79,Tier1
MS222,MS,3.424,316.0,110.0,0.0,3.0,0.75,,,,,,84.11,Tier1
MS223,MS,3.516,324.0,113.0,0.0,4.0,0.76,,,,,,85.93,Tier1
MS224,MS,3.38,308.0,109.0,0.0,2.0,0.71,,,,,,81.57,Tier2
MS225,MS,3.292,305.0,105.0,0.0,2.0,0.67,,,,,,78.81,Tier2
MS226,MS,3.212,296.0,99.0,0.0,2.0,0.61,,,,,,74.6,Tier2
MS227,MS,3.38,306.0,110.0,0.0,2.0,0.63,,,,,,78.35,Tier2
MS228,MS,3.412,312.0,110.0,0.0,2.0,0.64,,,,,,79.35,Tier2
MS229,MS,3.468,318.0,112.0,0.0,3.0,0.71,,,,,,83.12,Tier1
MS230,MS,3.604,324.0,111.0,1.0,4.0,0.82,,,,,,88.52,Tier1
MS231,MS,3.46,313.0,104.0,0.0,3.0,0.73,,,,,,82.51,Tier1
MS232,MS,3.332,319.0,106.0,1.0,3.0,0.74,,,,,,82.97,Tier1
MS233,MS,3.308,312.0,107.0,0.0,2.0,0.69,,,,,,80.46,Tier2
MS234,MS,3.228,304.0,100.0,0.0,2.0,0.64,,,,,,76.59,Tier2
MS235,MS,3.724,330.0,113.0,1.0,5.0,0.91,,,,,,93.41,Tier1
MS236,MS,3.692,326.0,111.0,1.0,5.0,0.88,,,,,,91.51,Tier1
MS237,MS,3.668,325.0,112.0,1.0,4.0,0.85,,,,,,90.24,Tier1
MS238,MS,3.676,329.0,114.0,1.0,5.0,0.86,,,,,,91.22,Tier1
MS239,MS,3.348,310.0,104.0,0.0,3.0,0.7,,,,,,80.53,Tier2
MS240,MS,3.156,299.0,100.0,0.0,1.0,0.59,,,,,,73.87,Tier2
MS241,MS,3.072,296.0,101.0,0.0,1.0,0.6,,,,,,73.75,Tier2
MS242,MS,3.26,317.0,103.0,0.0,2.0,0.65,,,,,,78.48,Tier2
MS243,MS,3.504,324.0,115.0,1.0,3.0,0.7,,,,,,83.72,Tier1
MS244,MS,3.616,325.0,114.0,1.0,3.0,0.76,,,,,,86.63,Tier1
MS245,MS,3.424,314.0,107.0,0.0,2.0,0.63,,,,,,78.78,Tier2
MS246,MS,3.608,328.0,110.0,1.0,4.0,0.81,,,,,,88.31,Tier1
MS247,MS,3.492,316.0,105.0,0.0,3.0,0.72,,,,,,82.62,Tier1
MS248,MS,3.392,311.0,104.0,0.0,2.0,0.71,,,,,,81.23,Tier2
MS249,MS,3.548,324.0,110.0,1.0,3.0,0.8,,,,,,87.31,Tier1
MS250,MS,3.532,321.0,111.0,1.0,3.0,0.77,,,,,,85.94,Tier1
MS251,MS,3.428,320.0,104.0,1.0,3.0,0.74,,,,,,83.27,Tier1
MS252,MS,3.6,316.0,99.0,0.0,2.0,0.7,,,,,,81.61,Tier2
MS253,MS,3.416,318.0,100.0,1.0,2.0,0.71,,,,,,81.36,Tier2
MS254,MS,3.872,335.0,115.0,1.0,4.0,0.93,,,,,,95.57,Tier1
MS255,MS,3.648,321.0,114.0,0.0,4.0,0.85,,,,,,90.09,Tier1
MS256,MS,3.348,307.0,110.0,0.0,4.0,0.79,,,,,,84.66,Tier1
MS257,MS,3.424,309.0,99.0,0.0,3.0,0.76,,,,,,82.62,Tier1
MS258,MS,3.456,324.0,100.0,1.0,3.0,0.78,,,,,,84.8,Tier1
MS259,MS,3.504,326.0,102.0,1.0,4.0,0.77,,,,,,85.04,Tier1
MS260,MS,3.736,331.0,119.0,1.0,4.0,0.9,,,,,,93.89,Tier1
MS261,MS,3.652,327.0,108.0,1.0,5.0,0.87,,,,,,90.6,Tier1
MS262,MS,3.236,312.0,104.0,0.0,3.0,0.71,,,,,,80.52,Tier2
MS263,MS,3.344,308.0,103.0,1.0,2.0,0.7,,,,,,80.24,Tier2
MS264,MS,3.516,324.0,111.0,1.0,3.0,0.7,,,,,,83.28,Tier1
MS265,MS,3.504,325.0,110.0,1.0,2.0,0.75,,,,,,85.17,Tier1
MS266,MS,3.472,313.0,102.0,0.0,3.0,0.71,,,,,,81.52,Tier2
MS267,MS,3.38,312.0,105.0,0.0,2.0,0.72,,,,,,81.77,Tier2
MS268,MS,3.268,314.0,107.0,1.0,3.0,0.73,,,,,,82.0,Tier2
MS269,MS,3.656,327.0,113.0,0.0,4.0,0.83,,,,,,89.65,Tier1
MS270,MS,3.336,308.0,108.0,0.0,4.0,0.77,,,,,,83.63,Tier1
MS271,MS,3.288,306.0,105.0,1.0,2.0,0.72,,,,,,80.86,Tier2
MS272,MS,3.144,299.0,96.0,0.0,2.0,0.54,,,,,,71.31,Tier2
MS273,MS,3.056,294.0,95.0,0.0,1.0,0.49,,,,,,68.37,Tier2
MS274,MS,3.204,312.0,99.0,1.0,1.0,0.52,,,,,,72.14,Tier2
MS275,MS,3.18,315.0,100.0,0.0,1.0,0.58,,,,,,74.76,Tier2
MS276,MS,3.584,322.0,110.0,1.0,3.0,0.78,,,,,,86.55,Tier1
MS277,MS,3.78,329.0,113.0,1.0,5.0,0.89,,,,,,92.82,Tier1
MS278,MS,3.448,320.0,101.0,0.0,2.0,0.7,,,,,,81.39,Tier2
MS279,MS,3.396,308.0,103.0,0.0,2.0,0.66,,,,,,78.9,Tier2
MS280,MS,3.492,304.0,102.0,0.0,2.0,0.67,,,,,,79.36,Tier2
MS281,MS,3.456,311.0,102.0,1.0,3.0,0.68,,,,,,80.1,Tier2
MS282,MS,3.644,317.0,110.0,1.0,3.0,0.8,,,,,,87.28,Tier1
MS283,MS,3.516,312.0,106.0,1.0,3.0,0.81,,,,,,86.17,Tier1
MS284,MS,3.56,321.0,111.0,1.0,3.0,0.8,,,,,,87.28,Tier1
MS285,MS,3.864,340.0,112.0,1.0,4.0,0.94,,,,,,95.92,Tier1
MS286,MS,3.704,331.0,116.0,1.0,5.0,0.93,,,,,,94.56,Tier1
MS287,MS,3.676,336.0,118.0,1.0,5.0,0.92,,,,,,94.64,Tier1
MS288,MS,3.632,324.0,114.0,1.0,5.0,0.89,,,,,,91.83,Tier1
MS289,MS,3.608,314.0,104.0,0.0,4.0,0.82,,,,,,86.93,Tier1
MS290,MS,3.6,313.0,109.0,0.0,3.0,0.79,,,,,,86.24,Tier1
MS291,MS,3.06,307.0,105.0,0.0,2.0,0.58,,,,,,74.2,Tier2
MS292,MS,3.148,300.0,102.0,0.0,2.0,0.56,,,,,,72.95,Tier2
MS293,MS,3.188,302.0,99.0,0.0,2.0,0.56,,,,,,72.92,Tier2
MS294,MS,3.272,312.0,98.0,1.0,1.0,0.64,,,,,,77.15,Tier2
MS295,MS,3.328,316.0,101.0,1.0,2.0,0.61,,,,,,76.9,Tier2
MS296,MS,3.428,317.0,100.0,0.0,2.0,0.68,,,,,,80.15,Tier2
MS297,MS,3.468,310.0,107.0,0.0,3.0,0.76,,,,,,83.91,Tier1
MS298,MS,3.644,320.0,120.0,0.0,3.0,0.86,,,,,,91.15,Tier1
MS299,MS,3.696,330.0,114.0,1.0,3.0,0.9,,,,,,92.99,Tier1
MS300,MS,3.46,305.0,112.0,0.0,3.0,0.71,,,,,,82.13,Tier2
MS301,MS,3.2,309.0,106.0,0.0,2.0,0.62,,,,,,76.77,Tier2
MS302,MS,3.504,319.0,108.0,0.0,2.0,0.66,,,,,,80.88,Tier2
MS303,MS,3.38,322.0,105.0,1.0,2.0,0.65,,,,,,79.7,Tier2
MS304,MS,3.42,323.0,107.0,1.0,3.0,0.73,,,,,,83.43,Tier1
MS305,MS,3.372,313.0,106.0,0.0,2.0,0.62,,,,,,77.92,Tier2
MS306,MS,3.52,321.0,109.0,1.0,3.0,0.74,,,,,,84.43,Tier1
MS307,MS,3.64,323.0,110.0,1.0,3.0,0.79,,,,,,87.3,Tier1
